review;faydali;faydasiz;tarih;satici;yildiz;fotografli
"Ürünü 15 Ekim 2020 akşamı sipariş ettim ve gecesi kargoya verildi bildirimi geldi. 16 Ekim günü öğleden sonra HepsiJet ile elime ulaştı. Hiç bu kadar hızlı bir teslimat almamıştım bugüne kadar. Gerçekten hızlı teslimat için teşekkür ediyorum.
Kulaklığa gelecek olursam ilk aramamda karşı tarafa kulaklık ile konuştuğumu söylemeden devam ettim ve sesimin gayet iyi ve net geldiğini belirtti. Müzik ve diğer video izlemelerinde ses sorunsuz bir şekilde gelmekte. Dışarıdan gelen sesleri büyük ölçüde duymuyorsunuz ve bu gerçekten güzel.
Telefonunuza Bluetooth ile bağlanırken bir kere uzun basmanız yeterli olacaktır (bende yetti). Bluetooth sayfasında kulaklık adı göründükten sonra tıklayıp bağlantı olumlu olana kadar bekleyin. Bağlandı dedikten sonra rahatlıkla kulaklığınızdan  arama yapma/sonlandırma müzik durdurma/açma yapabilirsiniz.
Kulaklığın altında bulunan iki nokta üstünde bulunan koruyucuları çıkarttıktan sonra kutusuna geri koyduğunuzda otomatik olarak telefon-kulaklık bağlantısını kesme özelliğine sahip yani telefonunuzdan bluetooth kısmını açıp kapamanıza gerek yok. (NOT: Kutusunda şarj kablosu yok)
Umarım alanlara az da olsa yardımım dokunmuştur. Güle güle kullanalım :)";1097;62;16.10.2020;Hepsiburada;1;1
Hepsijet ile siparişimin ikinci günü 29 ekimde resmi tatil olmasına rağmen ulaştırıldı o yönden güzel oldu. Ürün orijinal. Görsele de ekledim altta bir bandrol var ordaki alanı kazıyıp kodu kendi sitesinde doğrulayabiliyorsunuz. Cihaz üzerinde M boy silikon takılı. Yanında ekstra bir çift S bir çift de L boy silikon yedeği var. Yine görselde göreceğiniz gibi kutu içine sıkıştırılmış halde Türkçe kılavuz ve garanti belgesi var. Kurulumu basit halledersiniz hiç girmiyorum. Kulaktan düşer mi diye düşünen varsa benim kulak küçük. S boy olan yedek çifti taktım onu kullanıyorum gayet de duruyor. Kolay düşmüyor tabiki. İphone kullanıyorum sağ üst kısımda kulaklığın şarj durumunu görüyorsunuz. Tek tek de kullanabiliyorsunuz kulaklığı. Üstündeki düğmeyle siriyi açabiliyorsunuz müzik videoyu duraklatabiliyorsunuz. Evin bir ucundan bir ucuna araya duvarlar kolonlar girdiği için bağlantı zayıflayabiliyor çok normal. Ses kalitesi tatmin edici. Kalitesiz demek haksızlık olur. Telefon konuşmamda karşı tarafın sesle alakalı şikayeti olmadı hiç. Ürünün kutusu ortalama bir kalitede. Aman aman çok kaliteli durduğunu söyleyemem. Dandik de değil. Bildiğin fiyat performans ürünü. Dandik ürünlere para vermenin anlamı yok. Ortalama bir kullanıcıyı asla üzmeyecek bir ürün. Almayı düşünen varsa çok düşünmesin alsın. Replika ürün endişesinden olayı hepsiburadanın kendisinden aldım. Alacaklara da tavsiye ediyorum. Kablosuz kulaklık bir ihtiyaç gibi artık.;217;26;29.10.2020;Hepsiburada;1;0
Gayet güzel ve hızlı geldi. Müzikyoutubetelefon görüşmelerinde gayet güzel ses geliyor ve karşıya gayet güzel ses gidiyor. Yanında 4 tane de yedek kulaklık ucu(?)getirdiler. Gönül rahatlığıyla alabilirsiniz benden tam puan.;114;37;18.09.2020;Hepsiburada;1;0
Fiyatına göre beklentimin üzerinde bir ürün. Hepsiburada satıcısından aldım ürünü. Kargo ve teslimat hızlıydı. Ses kalitesi benim için çok iyi. Bağlantıda her hangi bir sıkıntı yaşamadım. Daha pahalı ürünleri almaya gerek yok bence. Beklentilerimi fazlasıyla karşıladı.;94;22;16.10.2020;Hepsiburada;1;0
Ürün fiyatına göre güzel orjinal tavsiye ederim güvenle alınabilir mağaza güzel paketlemis hızlı kargo güvenilir mağaza faturalı ürün öncelikle kutudan çıkartınca şarj etmeniz gerekli içinden şarj aleti çıkmıyor kulaklıkta olan kırmızı koruma bantlarını çıkarmadan şarj olmuyor şarj edildikten sonra yan yana koyduğumuzda ürünler eşleşiyor kolaylıkla telefona bağlayıp kullanabiliyorsunuz ses kalitesi güzel dışarıdaki sesleri kesmesi güzel içinden üç boy kulaklık ucu çıkıyor kulağınıza göre değiştirebilirsiniz;72;24;21.04.2021;Torima;1;1
En en en başta şunu belirteyim Orjinal ürün . Gönül rahatlığı ile alın. Teşekkürler Hepsi burada . Ürün tam bir günden muhteşem teslimat ile elimize ulaştı. Son olarak şunu söylemek isterim alacaksanız Ürün Satıcısı  HEPSİ BURADA Olsun.;71;51;30.08.2020;Hepsiburada;1;0
"Hepsiburada kalitesi. Orjinal ürün güvenilir temiz kargo. Teşekkürler.
Tam bir fiyat performans ürünü. Bu fiyata tavsiye ederim.";66;36;01.07.2020;Hepsiburada;1;0
Aylardır alıp almama konusunda kararsızdım. Piyasada benzer modeller ve markalar vardı. Uzun araştırmalar sonucu kasım indiriminde 100₺ ye düşünce aldım. Öncelikle şunu söyleyeyim alma düşüncesinde olanlar hiç düşünmeden alsınlar. Çünkü parasının hakkının kat kat fazlasını veriyor. Eğer ileride bozulmaz en az 2 yıl giderse ne ala. Ürüne gelirsek ses beklediğimden çok çok iyi. Bir çok kablolu kulaklığa göre fazlasıyla iyi. Mikrofon dışarıda orta halli bir kalabalıkta iş gördü. Sesler konuşmalar net anlaşıldı. Ürün kalitesi çok iyi. F/P ürünü dersem haksızlık olur. Bu fiyata F/P² falan yani. Son olarak şunu söyleyeyim. Marka ve model çok ama xiaomi basic 2 modeli fazlasıyla iyi;55;16;10.11.2020;Hepsiburada;1;0
bir önceki modeli olan airdots ta vardı bu fiyata alınabilecek en iyi kulaklıklıktı. buda oyun modu sayesinde pubg oynarken hiç gecikme olmuyor. bu paraya apple bose harman kalitesi de beklememek lazım onun için bu tutarın sonuna birtane daha sıfır eklemek gerekiyor;52;20;19.06.2020;;1;0
"Ürünü Nethouse'dan sipariş ettim ve kargolanması gayet güzel bir şekilde geldi.
Ürün orijinal zaten sorgulatabiliyorsunuz kutusundaki site ile. Ürün gayet güzel mikrofon kalitesi ve ses kalitesi mükemmel.
Üstelik birkaç kere yere düşürmeme rağmen hiç bir sorun ile karşılaşmadım. Şarj hızı çok iyi yani 1-2 saatte şarj oluyor ve 4 saat kullanılıyor. Kutusunun şarjı micro usb yani neredeyse herkeste olançoğu Android telefonun şarj girişi. Herkesin kulağına uyacak şekilde tasarlanmış. Koşarken bile düşmüyor 
Suya ve tere dayanıklı ama havuza kulaklık ile girmeyin. Yağmurda takabilirsiniz. Aşağıya birkaç resim bıraktım ordan kutunun ve mikrofonun nasıl bir şey olduğuna bakabilirsiniz.";49;4;31.08.2021;Nethouse;1;1
Ürün orijinal. xiaomi nin kendi sitesine girip doğruladım orijinal olduğunu. Şarjı uzun gidiyor. içinden 3 boy kulaklık ucu da çıkıyor. Kullanışlı tavsiye ederim. Orijinal olup olmadığını kutunun altındaki etiketi kaziyip orda yazan kodu xiaomi/verify sitesine yazarsanız anlayabilirsiniz.;48;6;27.05.2021;Bizdenal;1;1
